daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR      MONTH        DAY     GPP(2)     GPP(1)     GPP(0)   GPP(tot)     NPP(2)     NPP(1)     NPP(0)     NPP(0)   NPP(tot)      ET(2)      ET(1)      ET(0)     LAI(2)     LAI(1)
-2001          1         28          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          1         29          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          1         30          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          1         31          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2          1          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2          2          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2          3          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2          4          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2          5          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2          6          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2          7          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2          8          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2          9          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         10          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         11          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         12          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         13          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         14          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         15          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         16          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         17          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         18          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         19          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         20          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         21          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         22          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         23          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         24          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         25          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         26          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         27          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          2         28          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3          1          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3          2          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3          3          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3          4          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3          5          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3          6          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3          7          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3          8          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3          9          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         10          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         11          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         12          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         13          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         14          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         15          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         16          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         17          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         18          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         19          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         20          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         21          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         22          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         23          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         24          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         25          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         26          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         27          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         28          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         29          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         30          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          3         31          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4          1          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4          2          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4          3          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4          4          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4          5          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4          6          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4          7          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4          8          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4          9          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         10          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         11          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         12          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         13          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         14          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         15          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         16          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         17          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         18          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         19          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         20          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         21          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         22          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         23          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         24          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         25          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         26          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         27          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         28          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         29          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          4         30          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5          1          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5          2          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5          3          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5          4          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5          5          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5          6          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5          7          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5          8          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5          9          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         10          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         11          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         12          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         13          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         14          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         15          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         16          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         17          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         18          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         19          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         20          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         21          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         22          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         23          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         24          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         25          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         26          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         27          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         28          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         29          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         30          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          5         31          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          6          1          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          6          2          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          6          3          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          6          4          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          6          5          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          6          6          0          0          0          0          0          0          0          0          0          0          0          0          0           0
-2001          6          7    3.16765    2.31807    1.29127    6.79691 0.00770131  0.0102585 0.00195484          0 5.61367e-05   0.973138   0.575617    4.16362    3.46714     2.74498
-2001          6          8    8.29452     6.0699    3.38122    17.7978   0.020166  0.0268619 0.00511876          0   0.601548    2.63244    1.55569    4.16362    3.46714     2.74498
-2001          6          9    6.90624    5.05396    2.81529    14.8189  0.0167907   0.022366 0.00426202          0    1.62386    2.23588    1.31936    4.16362    3.46714     2.74498
-2001          6         10    7.26949    5.31979    2.96337    15.5983  0.0176739  0.0235423 0.00448619          0    1.39669    2.25098    1.33026    4.16362    3.46714     2.74498
-2001          6         11    10.0909    7.38446    4.11349    21.6523  0.0245333  0.0326794 0.00622734          0    1.39896    3.14025    1.85659    4.16362    3.46714     2.74498
-2001          6         12    7.73806    5.66269    3.15438    16.6038  0.0188131  0.0250598 0.00477536          0    1.94437    2.30808      1.364    4.16362    3.46714     2.74498
-2001          6         13     7.5657    5.53656    3.08412    16.2339   0.018394  0.0245016 0.00466899          0    1.42898    2.11873    1.25149    4.16362    3.46714     2.74498
-2001          6         14    10.2454    7.49753    4.17647    21.9838   0.024909  0.0331798 0.00632268          0    1.29195    3.03541    1.78519    4.16362    3.46714     2.74498
-2001          6         15     7.9048     5.7847    3.22235    16.9615  0.0192185  0.0255998 0.00487826          0    1.88752    2.29733    1.35112    4.16362    3.46714     2.74498
-2001          6         16    7.60933    5.56848     3.1019    16.3276  0.0185001  0.0246429 0.00469591          0    1.46542    1.98074    1.17243    4.16362    3.46714     2.74498
-2001          6         17    4.83539    3.53852    1.97112    10.3754   0.011756  0.0156595 0.00298404          0    1.23991    1.24267   0.737503    4.16362    3.46714     2.74498
-2001          6         18    3.13346    2.29305    1.27734    6.72355 0.00761819  0.0101478 0.00193374          0   0.765371   0.940764   0.557685    4.16362    3.46714     2.74498
-2001          6         19    10.3915     7.6045    4.23606    22.2974  0.0252644  0.0336532 0.00641289          0   0.569067    3.19213    1.88118    4.16362    3.46714     2.74498
-2001          6         20    10.2423    7.49525     4.1752    21.9771  0.0249014  0.0331697 0.00632076          0    1.95987    3.00612    1.76665    4.16362    3.46714     2.74498
-2001          6         21     9.5456    6.98544    3.89121    20.4823  0.0232076  0.0309136 0.00589083          0    1.89957    2.86987    1.69336    4.16362    3.46714     2.74498
-2001          6         22    6.53103    4.77938    2.66234    14.0138  0.0158785  0.0211508 0.00403046          0    1.79351    1.92188    1.13611    4.16362    3.46714     2.74498
-2001          6         23    9.46196    6.92423    3.85712    20.3028  0.0230043  0.0306427 0.00583922          0    1.17789    2.67502     1.5769    4.16362    3.46714     2.74498
-2001          6         24    7.82609     5.7271    3.19026    16.7927  0.0190271  0.0253449 0.00482968          0    1.61898    2.36892    1.38789    4.16362    3.46714     2.74498
-2001          6         25    10.5611    7.72857    4.30517    22.6612  0.0256765  0.0342022 0.00651752          0    1.46287    3.34768    1.95745    4.16362    3.46714     2.74498
-2001          6         26     9.4138    6.88899    3.83748    20.1995  0.0228872  0.0304867  0.0058095          0    2.05885    3.16922    1.84733    4.16362    3.46714     2.74498
-2001          6         27    4.79464     3.5087    1.95451     10.288  0.0116569  0.0155275  0.0029589          0    2.08077    1.21493   0.716915    4.16362    3.46714     2.74498
-2001          6         28    9.49091    6.94542    3.86892    20.3649  0.0230747  0.0307365 0.00585709          0   0.753982    2.46614    1.45552    4.16362    3.46714     2.74498
-2001          6         29    8.26908    6.05128    3.37084    17.7432  0.0201041  0.0267795 0.00510306          0     1.5228    2.13642    1.25967    4.16362    3.46714     2.74498
-2001          6         30    8.65042    6.33035     3.5263    18.5614  0.0210313  0.0280145  0.0053384          0    1.31965    2.32997    1.37238    4.16362    3.46714     2.74498
-2001          7          1    11.2902    8.26216     4.6024    24.2258  0.0274493  0.0365636  0.0069675          0    1.45205    3.01612    1.77844    4.16362    3.46714     2.74498
-2001          7          2    5.37677     3.9257    2.17729    11.5137  0.0131743  0.0174911 0.00331324          0    1.87888    1.36523   0.802435    4.16362    3.46714     2.74498
-2001          7          3    11.5087    8.40274    4.66036    24.6445  0.0281989  0.0374386  0.0070918          0   0.819898    3.35946    1.96139    4.16362    3.46714     2.74498
-2001          7          4    9.29651     6.7876    3.76456    19.9074  0.0227786  0.0302423 0.00572864          0    2.00808    3.28271    1.90075    4.16362    3.46714     2.74498
-2001          7          5    7.75456    5.66178    3.14016    16.6055  0.0190004  0.0252262 0.00477846          0    2.04114    2.78192    1.61073    4.16362    3.46714     2.74498
-2001          7          6    7.73051    5.64423    3.13042     16.554  0.0189415   0.025148 0.00476365          0    1.82612    1.97625    1.15916    4.16362    3.46714     2.74498
-2001          7          7    7.24566    5.29023    2.93408    15.5158  0.0177535  0.0235707 0.00446487          0    1.24593    1.64181   0.968086    4.16362    3.46714     2.74498
-2001          7          8    1.30722   0.954428   0.529348    2.79925 0.00320298 0.00425248 0.000805524          0    1.01771   0.311756   0.184153    4.16362    3.46714     2.74498
-2001          7          9    5.15961    3.76715    2.08935    11.0487  0.0126422  0.0167846 0.00317942          0    0.18887     1.3509   0.794826    4.16362    3.46714     2.74498
-2001          7         10     6.6219     4.8348     2.6815      14.18  0.0162252  0.0215416 0.00408051          0   0.834493    1.62907   0.959055    4.16362    3.46714     2.74498
-2001          7         11    7.79857    5.69392    3.15798    16.6997  0.0191083  0.0253694 0.00480558          0   0.991502    2.25513    1.32357    4.16362    3.46714     2.74498
-2001          7         12     6.1986    4.52574    2.51008    13.2736   0.015188  0.0201645 0.00381966          0    1.40732    1.71511    1.00951    4.16362    3.46714     2.74498
-2001          7         13    8.16163    5.95899      3.305    17.4772  0.0199979  0.0265504 0.00502931          0    1.04709    2.33221    1.36963    4.16362    3.46714     2.74498
-2001          7         14    2.89878    2.11647    1.17384    6.20741 0.00710268 0.00942997 0.00178627          0     1.4695   0.775551   0.457963    4.16362    3.46714     2.74498
-2001          7         15     7.0606    5.15511    2.85914    15.1195  0.0173001  0.0229687 0.00435084          0   0.472117    1.92576    1.13423    4.16362    3.46714     2.74498
-2001          7         16    8.15832    5.95658    3.30366    17.4701  0.0199898  0.0265397 0.00502727          0    1.16552    2.38673     1.3997    4.16362    3.46714     2.74498
-2001          7         17    9.59711    7.00707    3.88629    20.5511  0.0235151  0.0312202 0.00591387          0    1.47263    2.68166    1.57265    4.16362    3.46714     2.74498
-2001          7         18    5.29005    3.86239    2.14217     11.328  0.0129618   0.017209  0.0032598          0    1.70259    1.31234   0.775254    4.16362    3.46714     2.74498
-2001          7         19    6.04201    4.41141    2.44667    12.9383  0.0148043  0.0196551 0.00372317          0   0.804814    1.50994   0.891515    4.16362    3.46714     2.74498
-2001          7         20    5.17476    3.77821    2.09549    11.0812  0.0126794  0.0168339 0.00318876          0    0.92406    1.37395   0.810323    4.16362    3.46714     2.74498
-2001          7         21    3.43267    2.50627    1.39004    7.35067 0.00841082  0.0111667 0.00211526          0   0.848314   0.846288    0.49964    4.16362    3.46714     2.74498
-2001          7         22    9.26835    6.76704    3.75316    19.8471  0.0227096  0.0301507 0.00571128          0   0.513162    2.22805    1.31087    4.16362    3.46714     2.74498
-2001          7         23    7.43807     5.4307      3.012    15.9278   0.018225  0.0241966 0.00458344          0    1.38516    1.68202   0.992099    4.16362    3.46714     2.74498
-2001          7         24     11.975    8.74322     4.8492    25.6431  0.0293415  0.0389556 0.00737916          0    1.01474    3.07102    1.80269    4.16362    3.46714     2.74498
-2001          7         25    11.1154     8.1156     4.5011    23.8023  0.0272353  0.0361592 0.00684945          0    1.88612    2.89058    1.69532    4.16362    3.46714     2.74498
-2001          7         26    9.42321    6.88011    3.81587    20.1787   0.023089  0.0306545 0.00580671          0    1.75103    2.72229    1.58973    4.16362    3.46714     2.74498
-2001          7         27    9.22374    6.73447    3.73509    19.7516  0.0226003  0.0300056  0.0056838          0    1.70856     2.3977    1.40554    4.16362    3.46714     2.74498
-2001          7         28    11.4088    8.32986    4.61994    24.4307  0.0279543  0.0371139 0.00703029          0    1.48844    2.85686    1.67752    4.16362    3.46714     2.74498
-2001          7         29    10.2043    7.45036    4.13215    21.8512  0.0250028  0.0331953   0.006288          0    1.73614    2.80627    1.64228    4.16362    3.46714     2.74498
-2001          7         30    8.85888    6.46807    3.58735    18.9703  0.0217063  0.0288186 0.00545896          0    1.72218    2.50334    1.46305    4.16362    3.46714     2.74498
-2001          7         31    9.42674    6.88268    3.81729    20.1863  0.0230977  0.0306659 0.00580888          0     1.5768    2.39939    1.40922    4.16362    3.46714     2.74498
-2001          8          1    9.40352    6.86573    3.80789    20.1366  0.0230408  0.0305904 0.00579458          0     1.4729    2.56226    1.50371    4.16362    3.46714     2.74498
-2001          8          2    7.30839    5.32877    2.94735    15.6308  0.0179895  0.0238431 0.00449875          0    1.57591    1.89395    1.10804    4.16362    3.46714     2.74498
-2001          8          3    6.47552     4.7215    2.61147    13.8495  0.0159394   0.021126 0.00398607          0     1.1804     1.5536   0.912211    4.16362    3.46714     2.74498
-2001          8          4    7.01568    5.11535    2.82931    15.0048   0.017269  0.0228882 0.00431857          0   0.947218    1.87174    1.09744    4.16362    3.46714     2.74498
-2001          8          5    8.04267    5.86416    3.24348    17.2013   0.019797  0.0262387 0.00495074          0    1.15486    2.08029    1.22144    4.16362    3.46714     2.74498
-2001          8          6    4.52651    3.30042    1.82547     9.6811   0.011142  0.0147675 0.00278634          0    1.28013    1.09939   0.646133    4.16362    3.46714     2.74498
-2001          8          7    4.11628     3.0013    1.66003    8.80371  0.0101322  0.0134291 0.00253381          0   0.676003   0.982711   0.578094    4.16362    3.46714     2.74498
-2001          8          8    7.97166    5.81238    3.21484    17.0494  0.0196222   0.026007 0.00490703          0   0.596277    2.06757    1.21342    4.16362    3.46714     2.74498
-2001          8          9    5.82893    4.25005    2.35071    12.4666  0.0143479  0.0190165 0.00358806          0    1.28058    1.44839   0.852265    4.16362    3.46714     2.74498
-2001          8         10    6.56466     4.7865    2.64742    14.0402  0.0161589  0.0214168 0.00404094          0   0.884101    1.73685    1.02125    4.16362    3.46714     2.74498
-2001          8         11    8.90809    6.49516    3.59249    19.0522  0.0219272   0.029062 0.00548346          0    1.04936     2.4215    1.41895    4.16362    3.46714     2.74498
-2001          8         12    4.18191    3.04916     1.6865    8.94407  0.0102937  0.0136432 0.00257421          0    1.46629    1.19366   0.697226    4.16362    3.46714     2.74498
-2001          8         13    4.86049    3.54393    1.96016    10.3954  0.0119641   0.015857 0.00299192          0   0.745164    1.18756   0.696416    4.16362    3.46714     2.74498
-2001          8         14    8.75024    6.38007    3.52883    18.7146  0.0215386  0.0285471  0.0053863          0   0.705602    2.57754    1.49982    4.16362    3.46714     2.74498
-2001          8         15    7.22481    5.26783    2.91365    15.4521  0.0177838  0.0235705  0.0044473          0    1.57871    2.23157    1.29693    4.16362    3.46714     2.74498
-2001          8         16    6.00596    4.37913    2.42211    12.8453  0.0147836  0.0195941 0.00369703          0     1.4114    1.57502   0.921295    4.16362    3.46714     2.74498
-2001          8         17    8.45533    6.16504     3.4099    18.0839  0.0208127   0.027585 0.00520476          0   0.972009    2.19473    1.28552    4.16362    3.46714     2.74498
-2001          8         18    9.23346     6.7324     3.7237    19.7481  0.0227281  0.0301236 0.00568375          0    1.34439    2.31286     1.3543    4.16362    3.46714     2.74498
-2001          8         19    7.15536    5.21719    2.88564    15.3035  0.0176128  0.0233439 0.00440455          0    1.43118    1.74152    1.02204    4.16362    3.46714     2.74498
-2001          8         20    6.04887    4.41041    2.43941     12.937  0.0148892   0.019734 0.00372344          0    1.06928    1.46682   0.861339    4.16362    3.46714     2.74498
-2001          8         21    8.90485     6.4928    3.59118    19.0453  0.0219192  0.0290515 0.00548147          0   0.892218    2.17285    1.27377    4.16362    3.46714     2.74498
-2001          8         22    8.83168    6.43945    3.56167    18.8888  0.0217391  0.0288128 0.00543643          0    1.31757    2.29454    1.34153    4.16362    3.46714     2.74498
-2001          8         23    6.55427    4.77892    2.64323     14.018  0.0161333  0.0213829 0.00403454          0       1.39    1.85164    1.07916    4.16362    3.46714     2.74498
-2001          8         24    6.54519     4.7723    2.63957    13.9986  0.0161109  0.0213533 0.00402896          0    1.11174    2.15277    1.24761    4.16362    3.46714     2.74498
-2001          8         25    6.16842    4.49758    2.48762    13.1927  0.0151835  0.0201241 0.00379703          0    1.30251    2.28552    1.31878    4.16362    3.46714     2.74498
-2001          8         26    5.81212    4.23779    2.34393    12.4307  0.0143065  0.0189617 0.00357771          0    1.46442    1.73054    1.00709    4.16362    3.46714     2.74498
-2001          8         27    8.38842    6.11625    3.38291    17.9408   0.020648  0.0273667 0.00516357          0    1.09895    2.19318    1.28645    4.16362    3.46714     2.74498
-2001          8         28    8.12721    5.92579    3.27757    17.3821   0.020005  0.0265145 0.00500278          0    1.33694    2.25151    1.31914    4.16362    3.46714     2.74498
-2001          8         29    8.32396    6.06925    3.35692    17.8029  0.0204893  0.0271564 0.00512389          0    1.37973    2.26503    1.32709    4.16362    3.46714     2.74498
-2001          8         30    2.59621    1.89297    1.04701    5.55265 0.00639054 0.00846995 0.00159812          0    1.41542   0.662594   0.390183    4.16362    3.46714     2.74498
-2001          8         31    5.43389    3.96202     2.1914    11.6218  0.0133755  0.0177277 0.00334488          0   0.404366    1.38128   0.813141    4.16362    3.46714     2.74498
-2001          9          1    7.04555    5.13712    2.84135    15.0687  0.0173425  0.0229856 0.00433695          0   0.834356    1.89165    1.11029    4.16362    3.46714     2.74498
-2001          9          2     1.8712     1.3627    0.75188    3.99767 0.00462459 0.00612006 0.00115072          0    1.17726   0.450158   0.264717    4.16362    3.46714     2.74498
