Month	n_days		Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	2.29	0.45	6.10	-5.75	0.10	-9999	4.40	-9999	-9999
1	2	2	2.32	8.28	10.65	5.35	0.21	-9999	9.80	-9999	-9999
1	3	3	2.01	6.44	9.10	5.55	0.32	-9999	0.00	-9999	-9999
1	4	4	2.01	2.53	5.20	1.05	0.06	-9999	4.50	-9999	-9999
1	5	5	0.94	-5.03	0.90	-6.65	0.01	-9999	9.80	-9999	-9999
1	6	6	1.89	-7.97	-6.75	-8.60	0.02	-9999	0.00	-9999	-9999
1	7	7	1.69	-10.64	-8.60	-11.45	0.03	-9999	6.20	-9999	-9999
1	8	8	7.22	-10.69	-8.06	-12.75	0.03	-9999	0.00	-9999	-9999
1	9	9	2.04	-13.94	-13.05	-15.40	0.05	-9999	5.00	-9999	-9999
1	10	10	2.07	-11.98	-11.05	-13.00	0.04	-9999	4.30	-9999	-9999
1	11	11	4.54	-10.47	-9.35	-11.35	0.03	-9999	0.00	-9999	-9999
1	12	12	7.70	-10.90	-8.10	-13.80	0.14	-9999	0.00	-9999	-9999
1	13	13	3.42	-5.90	-1.10	-9.25	0.22	-9999	3.80	-9999	-9999
1	14	14	0.99	1.05	2.80	-0.95	0.03	-9999	15.00	-9999	-9999
1	15	15	6.48	2.20	5.80	0.25	0.11	-9999	0.30	-9999	-9999
1	16	16	0.97	1.10	6.30	-0.95	0.13	-9999	1.30	-9999	-9999
1	17	17	8.11	0.98	4.25	-2.20	0.22	-9999	0.00	-9999	-9999
1	18	18	3.73	2.04	3.10	0.30	0.29	-9999	0.00	-9999	-9999
1	19	19	8.30	2.00	5.15	-0.60	0.27	-9999	0.00	-9999	-9999
1	20	20	6.90	3.59	5.20	1.95	0.21	-9999	0.00	-9999	-9999
1	21	21	7.26	3.91	7.75	0.35	0.31	-9999	0.00	-9999	-9999
1	22	22	1.49	1.94	6.95	0.30	0.11	-9999	5.30	-9999	-9999
1	23	23	1.72	0.57	1.80	-0.10	0.04	-9999	7.10	-9999	-9999
1	24	24	1.34	-1.17	-0.05	-1.85	0.00	-9999	16.50	-9999	-9999
1	25	25	2.55	-2.03	-1.40	-2.70	0.00	-9999	1.00	-9999	-9999
1	26	26	2.98	-2.93	-2.40	-3.85	0.00	-9999	1.20	-9999	-9999
1	27	27	1.36	0.00	4.10	-2.60	0.02	-9999	24.30	-9999	-9999
1	28	28	1.33	2.86	6.85	-0.80	0.12	-9999	8.10	-9999	-9999
