Month	n_days		Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	1	1.49	-4.39	-3.60	-5.10	0.01	-9999	0.00	-9999	-9999
1	2	2	1.18	-4.32	-3.20	-5.05	0.03	-9999	0.00	-9999	-9999
1	3	3	1.21	-5.54	-5.10	-5.80	0.05	-9999	0.00	-9999	-9999
1	4	4	6.39	-6.52	-2.50	-8.20	0.18	-9999	0.00	-9999	-9999
1	5	5	8.11	-3.58	0.75	-7.45	0.27	-9999	0.00	-9999	-9999
1	6	6	4.44	4.09	6.45	1.60	0.54	-9999	0.60	-9999	-9999
1	7	7	3.87	8.83	10.75	5.60	0.43	-9999	0.00	-9999	-9999
1	8	8	2.46	8.90	10.20	5.75	0.38	-9999	0.00	-9999	-9999
1	9	9	7.12	8.73	11.30	7.25	0.41	-9999	0.00	-9999	-9999
1	10	10	2.01	2.90	6.20	0.50	0.09	-9999	0.30	-9999	-9999
1	11	11	3.53	-1.51	0.50	-2.60	0.01	-9999	0.00	-9999	-9999
1	12	12	1.00	1.04	2.60	-0.85	0.04	-9999	7.80	-9999	-9999
1	13	13	0.49	6.18	7.45	2.75	0.01	-9999	83.00	-9999	-9999
1	14	14	1.79	7.10	7.75	6.20	0.01	-9999	33.40	-9999	-9999
1	15	15	1.24	4.95	6.40	3.90	0.16	-9999	2.40	-9999	-9999
1	16	16	7.00	7.92	10.45	4.75	0.36	-9999	0.00	-9999	-9999
1	17	17	8.00	8.37	10.05	6.25	0.40	-9999	0.00	-9999	-9999
1	18	18	5.39	5.26	6.45	4.10	0.30	-9999	0.10	-9999	-9999
1	19	19	1.27	0.51	4.85	-2.45	0.01	-9999	18.60	-9999	-9999
1	20	20	1.62	-4.00	-2.60	-4.80	0.01	-9999	12.50	-9999	-9999
1	21	21	1.81	-5.85	-4.75	-7.15	0.01	-9999	1.50	-9999	-9999
1	22	22	4.77	-7.94	-7.25	-8.75	0.10	-9999	0.00	-9999	-9999
1	23	23	7.26	-8.26	-7.15	-9.60	0.08	-9999	0.00	-9999	-9999
1	24	24	0.76	-5.55	-4.15	-7.45	0.01	-9999	0.00	-9999	-9999
1	25	25	2.08	-2.90	-1.80	-4.05	0.02	-9999	0.00	-9999	-9999
1	26	26	2.11	-2.92	-2.35	-3.50	0.05	-9999	0.00	-9999	-9999
1	27	27	1.90	-3.80	-3.10	-4.45	0.01	-9999	0.00	-9999	-9999
