"year"	"julian.day"	"tavg"	"tmin"	"tmax"	"grad"	"prec"	"vpd"	"wind"	"pressure"
"1996"	1	-5.23	-7.11	-3.56	201.513571	14.2	0.072047	1.378934	897.339829
"1996"	2	-3.31	-4.17	-2.47	156.08695	6.7	0.064655	1.620979	906.04375
"1996"	3	-4.21	-5.62	-2.78	67.726605	0.2	0.065952	4.208639	916.608333
"1996"	4	-6.47	-7.94	-5.31	214.916716	0.1	0.078238	1.452926	916.902083
"1996"	5	-9.49	-11.29	-7.16	455.295797	0	0.093572	1.569676	906.947917
"1996"	6	-4.26	-10.52	2.89	455.339455	0	0.112436	1.841661	902.195833
"1996"	7	4.81	-1.08	8.62	438.749243	0	0.198526	3.191593	903.660417
"1996"	8	0.99	-0.67	1.76	222.980433	8.6	0.06753	1.775676	913.2125
"1996"	9	0.29	-2.01	4.34	599.997376	0	0.077772	2.087836	911.33125
"1996"	10	0.62	-2.99	5.99	422.62181	0	0.114337	1.866183	910.422917
"1996"	11	8.46	4.8	11.76	538.543737	0	0.285938	1.881198	909.510417
"1996"	12	8.51	6.35	13	605.585658	0	0.305685	1.771558	908.310417
"1996"	13	3.94	0.88	6.55	585.053087	0	0.147113	1.874976	915.99375
"1996"	14	3.93	-0.36	7.95	619.036828	0	0.261832	4.712307	919.6
"1996"	15	-1.11	-3.14	1.14	611.099721	0	0.132155	1.921782	924.1125
"1996"	16	-2.19	-4.9	-0.05	639.442789	0	0.187243	1.714264	926.895833
"1996"	17	0.67	-4.69	5.47	645.46329	0	0.3778	2.967108	925.189583
"1996"	18	1.29	-0.56	4.34	465.463851	0	0.370727	1.737831	919.845833
"1996"	19	-4.14	-5.88	-0.56	411.074149	0	0.089372	2.013689	915.316667
"1996"	20	-6.46	-8.4	-4.64	476.147074	0	0.07846	2.41633	913.6
"1996"	21	-7.12	-9.8	-4.64	647.449749	0	0.098938	2.704688	916.48125
"1996"	22	-3.78	-6.24	-0.56	729.462155	0	0.206825	5.962698	915.73125
"1996"	23	-5.95	-8.09	-2.78	695.002537	0	0.09874	3.368313	912.160417
"1996"	24	-7.94	-9.02	-6.91	215.693837	1.2	0.077602	2.383731	908.520833
"1996"	25	-9.84	-10.62	-8.56	394.924887	0	0.087619	2.259062	906.585417
"1996"	26	-10.71	-12.01	-8.3	645.843118	0	0.091268	2.170643	908.589583
"1996"	27	-8.36	-12.22	-6.29	608.532604	0.1	0.083274	1.70946	913.722917
"1996"	28	-6.32	-7.22	-4.74	385.123564	0.6	0.073826	1.881204	915.814583
"1996"	29	-7.52	-8.97	-6.49	463.512318	0	0.078667	1.979564	915.958333
"1996"	30	-6.21	-8.71	-3.25	840.315335	0	0.072955	2.395326	920.6625
"1996"	31	-2.638897	-9.12	-1.18	904.886188	0	0.241921	5.233677	921.460417
"1996"	32	4.28	-1.8	10.42	929.531385	0	0.488546	4.292642	917.64375
"1996"	33	4.61	1.19	7.84	913.914756	0	0.308015	2.127934	909.91875
"1996"	34	1.13	-1.08	5.06	120.295749	0.4	0.126097	3.38859	908.30625
"1996"	35	-2.83	-4.84	-1.13	139.121275	1.4	0.063198	2.889225	908.841667
"1996"	36	-7.81	-11.03	-5	475.858929	0.4	0.087823	3.169919	908.516667
"1996"	37	-8.93	-11.34	-4.79	1044.575777	0	0.161697	4.54508	892.560054
"1996"	38	-9.03	-13.25	-5.15	1042.082879	0	0.180102	3.180475	892.256077
"1996"	39	-9.070362	-9.54	-4.68	978.673341	0	0.153855	3.17682	897.098744
"1996"	40	-7.36	-8.82	-4.84	731.566492	0	0.103282	4.058648	916.277083
"1996"	41	-3.169125	-9.02	-0.25	832.592154	0	0.200691	2.260852	913.652083
"1996"	42	0.12	-3.09	4.03	988.784639	0.7	0.164722	1.923285	914.19375
"1996"	43	2.08	-1.44	5.83	1148.565848	0	0.253511	4.301513	903.062981
"1996"	44	1.25	-0.51	3.1	559.648233	0	0.238593	4.275193	895.180545
"1996"	45	-1.9	-4.23	-0.92	299.797482	7.4	0.075425	5.425365	912.147917
"1996"	46	-5.31	-6.19	-4.38	403.922894	3.4	0.07434	3.638144	925.066667
"1996"	47	-2.16	-5.67	1.96	513.536174	7.2	0.088212	3.719913	918.20625
"1996"	48	0.51	-1.03	2.12	210.483893	10.3	0.118949	8.486387	910.897917
"1996"	49	0.47	-2.11	2.63	647.799017	0.8	0.173774	4.498988	902.266351
"1996"	50	-1.09	-1.65	0.11	272.28829	7	0.073354	2.415658	892.905959
"1996"	51	-1.63	-2.47	-0.67	434.200032	1.5	0.077233	3.068032	899.562005
"1996"	52	-4.96	-6.08	-2.47	349.327998	0.5	0.092345	3.422729	907.695833
"1996"	53	-7.82	-8.45	-6.49	672.727994	0	0.131522	5.182528	911.164583
"1996"	54	-9.13	-11.14	-6.55	1396.655011	0	0.16994	3.804739	913.033333
"1996"	55	-7.56	-10.52	-3.97	1318.008673	0	0.187854	2.595213	913.54375
"1996"	56	0.18	-7.68	6.14	1223.942168	0	0.233852	2.124089	914.347917
"1996"	57	2.07	-0.15	5.88	1506.993021	0	0.297192	2.080396	915.033333
"1996"	58	1.54	-1.65	7.33	1490.760808	0	0.234176	1.913854	917.397917
"1996"	59	-3.44	-5.36	0.42	1253.966087	0	0.092767	1.809392	919.7625
"1996"	60	-0.97	-5.1	3.2	1535.816333	0	0.204932	2.703712	921.0875
"1996"	61	-2.45	-5.31	1.61	152.274514	4.9	0.123872	8.845794	914.504167
"1996"	62	-5.93	-6.57	-5.31	229.849933	4.7	0.108165	9.267611	913.054167
"1996"	63	-6.52	-7.44	-5.7	565.122851	13.4	0.085036	5.495444	912.23125
"1996"	64	-7.67	-9.18	-6.86	551.034588	7.6	0.106508	4.272438	914.627083
"1996"	65	-5.08	-9.71	-1.83	1467.720148	0.1	0.225607	3.382874	918.860417
"1996"	66	-3.285633	-2.89	-1.58	222.058982	3.716522	0.10096	2.292721	914.387123
"1996"	67	-1.743984	-3.83	2.62	1434.471915	0	0.169533	3.733661	912.446439
"1996"	68	-2.322103	-5.16	2.62	1500.506824	0	0.330184	5.100406	916.5481
"1996"	69	-3.362716	-5.73	0.25	1504.828991	0	0.295704	4.008802	917.177511
"1996"	70	-4.191352	-6.87	0.63	1591.142337	0	0.376739	3.076163	915.918689
"1996"	71	-8.777758	-9.91	-7.06	426.074653	0	0.142478	3.361751	907.190858
"1996"	72	-8.546511	-9.06	-7.16	152.67323	4.655976	0.126077	2.970878	903.110178
"1996"	73	-6.446014	-9.15	-2.88	349.900526	0	0.179929	3.224945	901.977238
"1996"	74	-4.26	-8.07	0.3	1214.532543	0	0.099228	2.085921	906.191667
"1996"	75	3.21	-3.91	8.09	1669.289527	0	0.237568	5.315826	905.10625
"1996"	76	5.2	2.67	9.93	1564.977148	0	0.2456	6.088488	904.25
"1996"	77	3.91	1.32	6.79	1459.697561	0	0.171101	2.455754	910.533333
"1996"	78	2.09	0.3	6.11	1253.250899	0	0.114533	1.943909	912.227083
"1996"	79	0.66	-1.44	3.83	1296.820295	0	0.134751	2.185669	911.164583
"1996"	80	2.37	-2.02	7.22	1757.995349	0.6	0.227709	1.610381	908.110417
"1996"	81	3.03	2.19	4.46	528.698805	0.5	0.163817	1.829964	910.485417
"1996"	82	2.32	0.93	4.12	255.383504	11.2	0.097627	3.060888	913.24375
"1996"	83	3.82	1.61	6.59	1001.229193	2.7	0.1111	1.656266	916.508333
"1996"	84	7.36	3.54	11.58	987.00972	0.1	0.147065	2.907499	915.989583
"1996"	85	3.2	0.06	6.35	1098.103809	1	0.135472	2.412055	916.35
"1996"	86	5.2	-0.23	9.35	1107.059865	3.9	0.130245	2.081423	908.30625
"1996"	87	-0.52	-5.31	6.54	139.142213	8.8	0.097713	3.867245	908.679167
"1996"	88	-2.59	-7.39	2.19	2034.339739	0.1	0.271613	2.076603	909.779167
"1996"	89	-1.04	-2.84	-0.13	729.852059	4.2	0.153187	4.100587	906.9625
"1996"	90	-1.88	-3.23	0.93	1234.547774	1.9	0.137821	3.627096	905.789583
"1996"	91	-3.74	-4.44	-3.04	946.087027	10.2	0.117274	4.960426	908.191667
"1996"	92	-0.91	-5.75	2.96	1632.411867	0	0.157206	2.499581	905.04375
"1996"	93	-2.21	-2.89	-1	421.128657	13.4	0.078379	3.351048	905.785417
"1996"	94	-2.89	-3.96	-1.54	720.382407	5.4	0.099802	3.104144	912
"1996"	95	-2.29	-2.89	-1.34	702.807693	12.7	0.093724	3.558661	915.685417
"1996"	96	1.14	-2.65	4.95	1776.571012	0.8	0.106375	2.478524	914.552083
"1996"	97	4.96	2.09	9.35	2162.386229	0	0.166131	1.888549	914.341667
"1996"	98	6.4	2	10.8	2171.585963	0	0.203763	2.023369	916.241667
"1996"	99	6.47	3.64	10.56	1482.089576	4.7	0.192095	2.377843	918.875
"1996"	100	5.03	3.5	8.19	893.659045	11	0.118789	2.501597	919.40625
"1996"	101	4.33	2.92	6.54	675.021049	2.9	0.117652	2.233633	915.333333
"1996"	102	3.82	2.72	5.19	518.655576	7.7	0.103396	2.171585	909.96875
"1996"	103	1.2	-1.15	3.83	244.148133	12.4	0.076344	3.297686	908.514583
"1996"	104	-2.03	-3.08	-0.91	882.554884	1.7	0.137066	5.011346	911.425
"1996"	105	-0.59	-2.02	0.45	271.968516	8.5	0.131287	9.133556	914.416667
"1996"	106	2.32	-0.28	4.71	1859.049957	3.4	0.254148	7.703213	917.904167
"1996"	107	4.12	1.27	7.08	1889.250874	0	0.352215	4.344722	915.733333
"1996"	108	5.84	0.3	11	2299.939861	0	0.305895	2.159125	910.48125
"1996"	109	8.15	3.35	12.11	2265.067848	0	0.296181	2.803689	915.902083
"1996"	110	10.79	6.21	15.59	2293.862938	0	0.352021	1.922093	918.575
"1996"	111	13.17	8	18.3	2318.736708	0	0.38281	2.329945	916.035417
"1996"	112	15.42	10.56	20.91	2305.840586	0	0.410293	3.889404	913.347917
"1996"	113	15.73	10.75	21.93	2307.872475	0	0.416092	3.079612	913.377083
"1996"	114	16.86	12.01	23.19	2230.34954	0	0.395959	3.067572	910.204167
"1996"	115	10.09	7.95	14.82	317.749748	5	0.131574	4.174136	915.779167
"1996"	116	7.33	6.45	8.04	339.601926	8.9	0.089656	2.305869	920.333333
"1996"	117	7.49	6.5	8.72	418.545683	8.5	0.086172	1.533964	917.95
"1996"	118	10.87	6.5	16.12	1774.531625	0	0.215263	4.714971	912.654167
"1996"	119	10.45	8.29	13.03	756.922668	13.7	0.180916	2.202397	906.36875
"1996"	120	10.04	7.17	13.17	1188.102992	2.3	0.115296	2.124525	903.547917
"1996"	121	11.13	7.95	15.69	1779.00403	0.4	0.137113	2.723042	901.19375
"1996"	122	10.59	8.38	13.46	1216.523195	8.3	0.118611	2.269421	900.397917
"1996"	123	13.51	8.96	19.8	2437.86463	0	0.307904	3.24939	897.910417
"1996"	124	7.59	3.74	10.9	942.525598	7.5	0.161186	3.37014	899.93125
"1996"	125	7.38	4.17	11.04	1588.692516	6.4	0.20701	2.634654	908.922917
"1996"	126	8.25	4.51	13.03	1730.756041	2.7	0.159072	2.621498	913.416667
"1996"	127	12.25	7.08	17.19	1922.038513	0	0.269014	2.536906	910.866667
"1996"	128	14.61	9.11	19.61	2188.677073	0	0.253429	2.798986	909.3
"1996"	129	12.71	9.11	15.54	1207.638367	9.4	0.166984	3.104332	909.06875
"1996"	130	8.27	6.06	9.4	360.831791	11.1	0.093422	2.691657	905.597917
"1996"	131	5.97	4.66	7.08	388.715905	0.4	0.076413	1.707345	906.325
"1996"	132	8.88	6.79	11.29	860.069147	0	0.113194	1.943482	907.69375
"1996"	133	8.49	8.09	9.74	197.97327	23.8	0.086321	2.618837	908.204167
"1996"	134	8.06	7.27	8.53	195.101634	32.8	0.090904	3.118646	910.895833
"1996"	135	8.15	7.32	8.77	203.041746	36.9	0.083779	2.823092	910.066667
"1996"	136	10.4	8.91	12.4	494.254164	9.8	0.089187	2.179284	908.408333
"1996"	137	13.19	10.37	17.04	1422.748673	0	0.145802	2.441283	909.314583
"1996"	138	15.03	12.16	17.62	1948.209392	1.3	0.219176	3.210077	908.022917
"1996"	139	18.67	11.72	25.07	2583.56831	0	0.343682	4.678983	906.93125
"1996"	140	19.03	15.54	22.9	2267.219701	0	0.346244	4.931569	906.0125
