monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1, 1, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2001          1    23.8866   0.158023    2.67631
-2001          2     56.001   0.372304    4.82622
-2001          3    89.6287   0.596245    6.48093
-2001          4     185.14     1.2329    11.7808
-2001          5     301.49    2.01184    18.3385
-2001          6    281.934    1.88767    17.3895
-2001          7     210.64    1.41472    16.7401
-2001          8    190.662    1.28361    14.8567
-2001          9    183.641      1.239    9.91842
-2001         10    129.992    0.87883     7.0532
-2001         11    52.7584   0.357174    3.57907
-2001         12    18.9795   0.128575    2.19992

-YEAR      MONTH        GPP        NPP         ET

-2002          1    25.6438    0.17376    2.37052
-2002          2     60.953    0.41313    4.30754
-2002          3    143.221   0.971387    8.96575
-2002          4    225.709    1.53329    12.9715
-2002          5      268.3    1.82708    14.3691
-2002          6    270.005    1.84405    15.4478
-2002          7    239.553    1.64089    14.7192
-2002          8    204.039    1.40126    12.5702
-2002          9    198.763    1.36809    10.4076
-2002         10    107.504   0.741513    6.03822
-2002         11    53.9245   0.372397     3.1557
-2002         12    12.3985  0.0856725    1.53284

-YEAR      MONTH        GPP        NPP         ET

-2003          1    24.0281   0.166057    2.40045
-2003          2    70.0124   0.483979    5.61713
-2003          3    183.119    1.26684    9.88947
-2003          4    201.187    1.39452    11.7444
-2003          5     222.31    1.54425    12.5421
-2003          6    201.879    1.40564    14.8847
-2003          7     161.27    1.12527    13.4344
-2003          8    109.057    0.76228    12.4795
-2003          9    149.217    1.04421     9.4294
-2003         10     124.03   0.869315    6.72915
-2003         11    53.1144   0.372764    2.79504
-2003         12    30.4608   0.213898    2.19955

-YEAR      MONTH        GPP        NPP         ET

-2004          1    20.4646   0.143751     1.6151
-2004          2    42.4325    0.29813     3.2741
-2004          3    115.306   0.810504    6.99309
-2004          4    179.365     1.2623    9.15854
-2004          5      251.4    1.77255    12.5669
-2004          6    221.038    1.56248    12.2258
-2004          7    226.761    1.60663    12.1934
-2004          8    183.843     1.3056    11.4289
-2004          9    138.515   0.985558    8.17075
-2004         10    105.029   0.748388    5.14008
-2004         11    52.6217   0.375362    3.02531
-2004         12    27.1917   0.194072    1.92316

-YEAR      MONTH        GPP        NPP         ET

-2005          1    12.0927  0.0863323    1.43784
-2005          2    82.1258   0.586404    5.09496
-2005          3    70.1207   0.501084    5.75913
-2005          4    151.597    1.08412    7.37528
-2005          5    229.562    1.64416    12.4047
-2005          6    194.284    1.39469    12.1791
-2005          7    182.348    1.31162    11.7286
-2005          8    190.055     1.3696    10.3238
-2005          9    145.329    1.04931    8.23234
-2005         10    109.546   0.792108     5.2722
-2005         11    39.3516   0.284855    1.84167
-2005         12    28.2026   0.204238    1.29944

-YEAR      MONTH        GPP        NPP         ET

-2006          1    28.3733   0.205535    2.15186
-2006          2    34.7003   0.251438    2.23906
-2006          3    87.8514   0.636793    5.32697
-2006          4    146.501    1.06284    7.16989
-2006          5    186.968    1.35837    8.97657
-2006          6    175.558     1.2778    10.0426
-2006          7    74.6738   0.544458    9.54714
-2006          8     159.57    1.16433     7.5541
-2006          9    119.646   0.874365    6.67109
-2006         10     94.991   0.695007    4.28115
-2006         11    43.9545   0.321889     2.2189
-2006         12    16.9488   0.124175    1.03451

-YEAR      MONTH        GPP        NPP         ET

-2007          1    24.3367   0.178335    1.43278
-2007          2    39.0384   0.286133     2.1771
-2007          3    108.557   0.795986    5.39514
-2007          4    172.986    1.26972    8.74442
-2007          5    194.594    1.43066    8.81564
-2007          6    179.888    1.32499    8.98193
-2007          7    188.172    1.38842    9.25763
-2007          8    161.308    1.19233    8.12804
-2007          9    142.831    1.05741    6.36384
-2007         10    87.2374   0.646725    4.07968
-2007         11    33.4126   0.247907    1.95063
-2007         12    19.7349   0.146471    1.59915

-YEAR      MONTH        GPP        NPP         ET

-2008          1     22.368   0.166047    1.34089
-2008          2     54.457   0.404345     3.1765
-2008          3    80.8019   0.600264    4.76923
-2008          4    158.736    1.18012    7.71888
-2008          5     177.59    1.32225    8.64971
-2008          6    186.359    1.38985    8.80198
-2008          7    151.757    1.13376    8.31858
-2008          8    147.533    1.10379    7.17557
-2008          9    135.693    1.01662    6.06783
-2008         10    86.0442   0.645466    3.98493
-2008         11    30.4425   0.228555    1.64207
-2008         12     12.857   0.096555    1.48427

-YEAR      MONTH        GPP        NPP         ET

-2009          1     14.983   0.112535    1.89186
-2009          2     24.556   0.184462    1.96098
-2009          3    102.183   0.767774    5.37098
-2009          4    176.935    1.33071    7.65769
