monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1, 1, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2001          1     25.442   0.129224    2.67748
-2001          2    59.9663   0.304579    4.82647
-2001          3    96.1255   0.488238    6.48452
-2001          4    198.789    1.00969     11.857
-2001          5    323.679    1.64402    18.5029
-2001          6    302.427    1.53608    17.4967
-2001          7    225.891    1.14734     16.851
-2001          8     204.45    1.03844    14.9755
-2001          9    197.068    1.00094    10.0558
-2001         10    139.725   0.709689    7.23169
-2001         11    56.8495   0.288748    3.72618
-2001         12    20.5119   0.104184    2.33079

-YEAR      MONTH        GPP        NPP         ET

-2002          1    27.7754   0.141076    2.53891
-2002          2    66.1771   0.336125    4.69521
-2002          3    155.735   0.791007    9.87566
-2002          4    245.387    1.24636    14.3289
-2002          5    291.571    1.48094    15.8951
-2002          6    293.093    1.48867    17.0501
-2002          7    259.826     1.3197    16.2035
-2002          8    221.188    1.12345    13.8284
-2002          9    215.543    1.09478    11.4987
-2002         10    116.737   0.592927    6.73024
-2002         11    58.7124    0.29821    3.57134
-2002         12    13.5358  0.0687507    1.75926

-YEAR      MONTH        GPP        NPP         ET

-2003          1    26.3045   0.133605      2.802
-2003          2     76.782   0.389989    6.64098
-2003          3    200.946    1.02064    11.7911
-2003          4     220.64    1.12067    14.0425
-2003          5    243.639    1.23749    14.9898
-2003          6     221.04     1.1227    17.7877
-2003          7    176.413   0.896029    16.0108
-2003          8    119.263   0.605755    14.8734
-2003          9    163.179   0.828816    11.2447
-2003         10    135.784   0.689672    8.05891
-2003         11    58.2741   0.295984    3.38776
-2003         12    33.5358   0.170334    2.72028

-YEAR      MONTH        GPP        NPP         ET

-2004          1    22.6033   0.114806    2.02116
-2004          2    46.9782    0.23861    4.11156
-2004          3    127.806   0.649148    8.81089
-2004          4    198.845    1.00997    11.5722
-2004          5    278.303    1.41355    15.8266
-2004          6    244.234    1.24051    15.3644
-2004          7     250.19    1.27076    15.2536
-2004          8    202.586    1.02897    14.2709
-2004          9    152.542   0.774789    10.1986
-2004         10    115.839   0.588367    6.39751
-2004         11    58.1904   0.295559    3.76144
-2004         12    30.1489   0.153131    2.39579

-YEAR      MONTH        GPP        NPP         ET

-2005          1    13.4378  0.0682528    1.79771
-2005          2    91.3562   0.464014     6.4236
-2005          3    78.0835   0.396599    7.26382
-2005          4    168.936   0.858055    9.25972
-2005          5    255.403    1.29723    15.5531
-2005          6    215.649    1.09532    15.2647
-2005          7    201.999    1.02599    14.6273
-2005          8    210.284    1.06807    12.8447
-2005          9    160.735     0.8164    10.2374
-2005         10     121.24   0.615796    6.54862
-2005         11    43.6725    0.22182    2.29101
-2005         12    31.4376   0.159677    1.62318

-YEAR      MONTH        GPP        NPP         ET

-2006          1    31.7451   0.161239     2.6936
-2006          2    38.9159    0.19766    2.80903
-2006          3    98.6569   0.501095    6.70499
-2006          4    164.562   0.835838    9.04584
-2006          5    209.762    1.06542    11.2803
-2006          6    196.613   0.998633    12.6085
-2006          7    83.5413    0.42432     12.011
-2006          8    178.359   0.905918    9.40943
-2006          9    133.727    0.67922    8.32594
-2006         10    106.265   0.539739    5.32538
-2006         11    49.2916   0.250361    2.76154
-2006         12    19.0678  0.0968487    1.29058

-YEAR      MONTH        GPP        NPP         ET

-2007          1    27.4765   0.139558    1.79484
-2007          2    44.1744   0.224369    2.73242
-2007          3    122.978   0.624628    6.78698
-2007          4    195.708   0.994033    11.0233
-2007          5    219.616    1.11547    11.0489
-2007          6    202.516    1.02862    11.2196
-2007          7    211.405    1.07376    11.5335
-2007          8     180.88   0.918719    10.1013
-2007          9    160.053   0.812938     7.8786
-2007         10    97.8259   0.496874    5.04381
-2007         11    37.5529   0.190737    2.41393
-2007         12    22.2366   0.112943    1.98266

-YEAR      MONTH        GPP        NPP         ET

-2008          1    25.2667   0.128334    1.66759
-2008          2    61.6505   0.313134    3.96329
-2008          3    91.5516   0.465006    5.94733
-2008          4    179.684   0.912644    9.63085
-2008          5     200.52    1.01847    10.7947
-2008          6    209.932    1.06628    10.9292
-2008          7    170.564   0.866324    10.3011
-2008          8    165.567   0.840942    8.85842
-2008          9    152.211   0.773108    7.47417
-2008         10     96.552   0.490404    4.89849
-2008         11    34.2294   0.173857     2.0199
-2008         12    14.4913  0.0736039    1.82883

-YEAR      MONTH        GPP        NPP         ET

-2009          1    16.9197  0.0859383    2.33573
-2009          2    27.7631   0.141014    2.42358
-2009          3    115.612   0.587211    6.65277
-2009          4    199.857    1.01511    9.48732
-2009          5    216.692    1.10061    10.5921
-2009          6    234.473    1.19093     12.481
-2009          7    168.699   0.856852    10.2154
-2009          8    153.335   0.778817    9.99951
-2009          9    145.865   0.740872    7.24214
-2009         10    95.7115   0.486135    4.70357
-2009         11    39.2412   0.199313    2.04102
-2009         12    18.8203  0.0955916    1.91322

-YEAR      MONTH        GPP        NPP         ET

-2010          1    11.8608  0.0602433    2.00049
-2010          2    19.5129  0.0991092    2.24725
-2010          3     94.568   0.480327    6.09832
-2010          4    190.631   0.968248    9.60228
-2010          5    199.208    1.01181    9.93059
-2010          6    194.411   0.987449    11.0716
-2010          7    140.491   0.713575    10.0483
-2010          8    162.521   0.825471    8.33424
-2010          9    144.293    0.73289    6.84461
-2010         10    95.6962   0.486057    4.84861
